"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"29d47b32-3858-4303-b3d3-b0f5f5680896"	"2024-02-09T20:40:11+00:00"	"2.5"	"35152"	"29248"	"25576"	"15000"	"0.974"	"0.87"	"1.64"	"1.637"	"-5000"	"-5000"	"-28401"	"-31968"
"29d47b32-3858-4303-b3d3-b0f5f5680896"	"2024-02-09T20:40:11+00:00"	"50"	"35824"	"27488"	"24136"	"15000"	"0.907"	"0.813"	"1.635"	"1.632"	"-5000"	"-5000"	"-31084"	"-34329"
"29d47b32-3858-4303-b3d3-b0f5f5680896"	"2024-02-09T20:40:11+00:00"	"97.5"	"36496"	"25728"	"22696"	"15000"	"0.842"	"0.759"	"1.63"	"1.627"	"-5000"	"-5000"	"-33760"	"-36683"
"ad34569a-68f0-4ab3-aba6-4cd36dfbfd91"	"2024-02-09T20:40:11+00:00"	"2.5"	"49408"	"41064"	"39056"	"15000"	"0.932"	"0.892"	"1.64"	"1.637"	"-5000"	"-5000"	"-39965"	"-41825"
"ad34569a-68f0-4ab3-aba6-4cd36dfbfd91"	"2024-02-09T20:40:11+00:00"	"50"	"49808"	"39960"	"38296"	"15000"	"0.903"	"0.869"	"1.635"	"1.632"	"-5000"	"-5000"	"-41476"	"-42991"
"ad34569a-68f0-4ab3-aba6-4cd36dfbfd91"	"2024-02-09T20:40:11+00:00"	"97.5"	"50208"	"38856"	"37536"	"15000"	"0.873"	"0.847"	"1.63"	"1.627"	"-5000"	"-5000"	"-42983"	"-44152"
"b941e5ee-eaf5-4fea-a628-39645bcf111e"	"2024-02-09T20:40:11+00:00"	"2.5"	"35376"	"44608"	"44744"	"15000"	"1.402"	"1.406"	"1.64"	"1.637"	"-5000"	"-5000"	"-13409"	"-13167"
"b941e5ee-eaf5-4fea-a628-39645bcf111e"	"2024-02-09T20:40:11+00:00"	"50"	"35952"	"41296"	"38888"	"15000"	"1.288"	"1.221"	"1.635"	"1.632"	"-5000"	"-5000"	"-17486"	"-19786"
"b941e5ee-eaf5-4fea-a628-39645bcf111e"	"2024-02-09T20:40:11+00:00"	"97.5"	"36528"	"37984"	"33032"	"15000"	"1.177"	"1.041"	"1.63"	"1.627"	"-5000"	"-5000"	"-21557"	"-26399"
"d164cd38-7ed7-40e2-b857-e52b73475980"	"2024-02-09T20:40:11+00:00"	"2.5"	"49688"	"34560"	"32860"	"15000"	"0.796"	"0.762"	"1.64"	"1.637"	"-5000"	"-5000"	"-46928"	"-48479"
"d164cd38-7ed7-40e2-b857-e52b73475980"	"2024-02-09T20:40:11+00:00"	"50"	"50040"	"32960"	"31808"	"15000"	"0.759"	"0.736"	"1.635"	"1.632"	"-5000"	"-5000"	"-48855"	"-49857"
"d164cd38-7ed7-40e2-b857-e52b73475980"	"2024-02-09T20:40:11+00:00"	"97.5"	"50392"	"31360"	"30756"	"15000"	"0.722"	"0.71"	"1.63"	"1.627"	"-5000"	"-5000"	"-50779"	"-51232"
