"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"cb9a262a-ef09-4eee-9eb5-cf5e59fe0412"	"2024-02-09T20:40:22+00:00"	"2.5"	"51841.25"	"11554"	"15796"	"15000"	"0.319"	"0.401"	"1.904"	"2.034"	"-5000"	"-5000"	"-87152"	"-89649"
"cb9a262a-ef09-4eee-9eb5-cf5e59fe0412"	"2024-02-09T20:40:22+00:00"	"50"	"52728"	"9576"	"14044"	"15000"	"0.276"	"0.361"	"1.91"	"2.04"	"-5000"	"-5000"	"-91134"	"-93521"
"cb9a262a-ef09-4eee-9eb5-cf5e59fe0412"	"2024-02-09T20:40:22+00:00"	"97.5"	"53614.75"	"7598"	"12292"	"15000"	"0.235"	"0.323"	"1.915"	"2.047"	"-5000"	"-5000"	"-95074"	"-97457"
"61fffaca-7e54-4a6f-bb1e-4201d9a4e735"	"2024-02-09T20:40:22+00:00"	"2.5"	"45066.5"	"38880"	"38660"	"15000"	"0.974"	"0.969"	"1.904"	"2.034"	"-5000"	"-5000"	"-46927"	"-53005"
"61fffaca-7e54-4a6f-bb1e-4201d9a4e735"	"2024-02-09T20:40:22+00:00"	"50"	"46969.25"	"36776"	"35856"	"15000"	"0.889"	"0.87"	"1.91"	"2.04"	"-5000"	"-5000"	"-52935"	"-59961"
"61fffaca-7e54-4a6f-bb1e-4201d9a4e735"	"2024-02-09T20:40:22+00:00"	"97.5"	"48872"	"34672"	"33052"	"15000"	"0.812"	"0.779"	"1.915"	"2.047"	"-5000"	"-5000"	"-58918"	"-66989"
"1be084d9-39e0-4b22-ac34-144e3ca0a706"	"2024-02-09T20:40:22+00:00"	"2.5"	"45453"	"15024"	"20080"	"15000"	"0.441"	"0.552"	"1.904"	"2.034"	"-5000"	"-5000"	"-71519"	"-72371"
"1be084d9-39e0-4b22-ac34-144e3ca0a706"	"2024-02-09T20:40:22+00:00"	"50"	"46652.25"	"13808"	"18264"	"15000"	"0.403"	"0.499"	"1.91"	"2.04"	"-5000"	"-5000"	"-75298"	"-76907"
"1be084d9-39e0-4b22-ac34-144e3ca0a706"	"2024-02-09T20:40:22+00:00"	"97.5"	"47851.5"	"12592"	"16448"	"15000"	"0.368"	"0.448"	"1.915"	"2.047"	"-5000"	"-5000"	"-79044"	"-81504"
"e8d5d2b2-4115-41b3-87e7-ec6d29311549"	"2024-02-09T20:40:23+00:00"	"2.5"	"43443.125"	"48888"	"48624"	"15000"	"1.24"	"1.234"	"1.904"	"2.034"	"-5000"	"-5000"	"-33828"	"-39739"
"e8d5d2b2-4115-41b3-87e7-ec6d29311549"	"2024-02-09T20:40:23+00:00"	"50"	"45258.75"	"46032"	"45976"	"15000"	"1.128"	"1.126"	"1.91"	"2.04"	"-5000"	"-5000"	"-40412"	"-46352"
"e8d5d2b2-4115-41b3-87e7-ec6d29311549"	"2024-02-09T20:40:23+00:00"	"97.5"	"47074.375"	"43176"	"43328"	"15000"	"1.023"	"1.027"	"1.915"	"2.047"	"-5000"	"-5000"	"-46971"	"-53033"
